nro_socio;fecha_alta;localidad;tarifa ;consumo_prom_kwh;variacion_consumo_%;antiguedad_meses;cant_reclamos;cortes_ultimo_anio;horas_sin_servicio;facturas_emitidas;facturas_vencidas;medidor_inteligente;adhesion_debito;edad_titular;canal_contacto;codigo_postal;estado
100574;2021-11-22;Trenel;Residencial;127;30,9;52;2;2;10,4 hs;12;0;No;Sí;31;Web;;Activo
100808;01/12/2025;Intendente Alvear;Comercial;-99;11,7;3;1;2;8,5 hs;12;1;;Sí;65;App;-;Activo
101054;24/08/2021;Intendente Alvear;Residencial;226;14,5;55;0;3;15,9 hs;12;0;No;No;63;Teléfono;-;Activo
101087;2020-05-01;Intendente Alvear;Comercial;359;46,7;71;0;4;6,0 hs;12;2;Sí;No;78;App;s/d;Activo
100779;2009-07-28;Intendente Alvear;Residencial;232;9,5;202;2;3;7,6 hs;12;0;No;Sí;54;Web;-;Activo
101172;2001-06-10;Trenel;Rural;84;-7,8;301;-;1;1,6 hs;12;0;No;No;27;Web;s/d;Activo
100518;29/11/2014;Eduardo Castex;Comercial;198;-4,4;137;1;1;3,0 hs;12;1;No;No;61;App;N/D;Baja
100281;2025-03-06;Realicó;Residencial;191;-8;12;1;0;0,0 hs;12;0;s/d;No;59;Web;s/d;Activo
100563;21/02/1999;General Pico;RURAL;658;-36;329;1;2;4,4 hs;12;0;s/d;Sí;33;App;s/d;Activo
100520;2013-08-06;Intendente Alvear;Rural;125;29,9;153;0;2;3,6 hs;12;0;Sí;No;50;App;;Activo
101109;28/09/2020;Realicó;Rural;191;1,4;66;0;0;0,0 hs;12;1;No;No;56;App;;Activo
100256;29/04/2009;Realicó;Comercial;742;-16,3;205;-;0;0,0 hs;12;0;N/D;No;62;Oficina;-;Activo
100119;2019-05-07;Eduardo Castex;residencial;279;3,3;83;-;3;10,1 hs;12;0;No;Sí;38;Teléfono;6300;Activo
100198;14/02/2006;Santa Rosa;RESIDENCIAL ;472;-59,9;244;;1;5,3 hs;12;1;No;No;60;Web;N/D;Activo
100678;05/10/2013;GENERAL PICO ;residencial;194;31,3;151;1;6;7,1 hs;12;0;No;No;37;App;;Activo
100048;17/04/2017;General Pico;Residencial;119;3,3;108;2;2;7,7 hs;12;1;No;No;47;Teléfono;s/d;Activo
100517;27/03/2021;General Pico;RURAL;263;20,8;60;1;8;28,4 hs;12;3;No;No;58;Oficina;s/d;Baja
100893;19/02/2005;Realicó;Rural;300;6,3;256;0;3;2,5 hs;12;0;Sí;Sí;54;App;s/d;Activo
100671;23/03/2016;Realicó;Resid.;169;38,1;121;3;3;10,7 hs;12;2;s/d;No;66;Web;-;Activo
100429;2005-12-16;eduardo castex;Comercial;215;2,4;246;1;2;3,9 hs;12;0;Sí;No;79;App;6360;Activo
100446;11/11/2006;Trenel;Residencial;329;0,9;235;1;4;6,5 hs;12;0;Sí;Sí;45;Teléfono;N/D;Activo
100902;2008-04-04;Santa Rosa;Residencial;499;3,3;218;0;1;3,4 hs;12;1;s/d;Sí;53;Web;s/d;Activo
100858;26/08/2015;Eduardo Castex;Residencial;238;16,9;128;0;3;14,5 hs;12;3;-;No;41;App;-;Baja
101053;2016-04-22;Sta. Rosa;Rural;122;9,9;120;0;0;0,0 hs;12;2;No;No;37;Oficina;;Activo
101039;2003-05-31;Intendente Alvear;residencial;322;-15,2;277;0;2;7,3 hs;12;2;No;Sí;54;Teléfono;;Activo
101115;2005-07-19;Realicó;rural;366;14,4;251;2;3;17,6 hs;12;1;Sí;No;24;Web;N/D;Activo
101105;26/02/1998;General Pico;residencial;359;16,5;341;0;3;15,6 hs;12;1;s/d;Sí;33;Oficina;;Activo
101131;2023-01-16;Santa Rosa;Rural;264;N/D;38;;1;0,8 hs;12;0;Sí;No;45;Web;6360;Baja
100179;06/05/2002;Intendente Alvear;Residencial;388;-10,6;290;1;1;1,3 hs;12;3;;No;75;Oficina;;Activo
100592;26/10/2009;eduardo castex;Residencial;-99;-12,6;199;N/D;2;9,1 hs;12;4;Sí;Sí;76;Web;N/D;Activo
100949;2002-11-02;SANTA ROSA;Comercial;315;1,8;284;1;2;1,2 hs;12;2;No;No;32;App;6300;Activo
100167;2004-12-21;General Pico;Residencial;149;7,8;258;2;4;12,2 hs;12;1;s/d;No;51;App;N/D;Baja
100145;24/05/2010;Intendente Alvear;Comercial;252;16,1;192;-;5;5,2 hs;12;2;No;No;180;Teléfono;6200;Baja
100932;2000-04-16;General Pico;residencial;123;-11,1;315;0;0;0,0 hs;12;0;No;No;28;App;N/D;Activo
100375;06/01/2002;Gral. Pico;Residencial;175;1,5;294;-;3;13,4 hs;12;0;No;No;83;Web;;Activo
100340;16/05/2023;Intendente Alvear;Residencial;272;-50,7;34;1;0;0,0 hs;12;1;s/d;No;56;App;6360;Activo
100001;2025-05-05;General Pico;Residencial;431;-19,4;10;N/D;3;14,6 hs;12;0;-;Sí;48;Teléfono;s/d;Activo
100313;20/08/2016;Intendente Alvear;Residencial;346;6,5;116;1;3;16,8 hs;12;0;No;No;47;App;;Activo
100021;;Trenel;Residencial;261;39;186;4;1;5,0 hs;12;0;-;Sí;51;Teléfono;-;Activo
101094;2015-02-27;Realicó;Residencial;278;-51,7;134;0;1;4,5 hs;12;3;No;No;55;Web;;Activo
100867;2015-01-28;Santa Rosa;Residencial;158;9,7;135;1;3;17,6 hs;12;2;Sí;No;41;Oficina;6380;Baja
100120;2021-03-27;Intendente Alvear;residencial;-99;-27,6;60;1;2;5,8 hs;12;3;-;No;43;Teléfono;6380;Baja
101036;2019-11-03;Santa Rosa;Comercial;185;-57;77;4;3;16,6 hs;12;0;No;No;36;Teléfono;6200;Baja
100989;1999-12-18;Realicó;Residencial;260;-9,6;319;2;4;12,6 hs;12;1;No;Sí;65;App;N/D;Baja
100058;2023-10-13;general pico;Comercial;271;-3,7;29;1;1;5,0 hs;12;2;Sí;No;37;Teléfono;-;Baja
100804;2019-09-04;Intendente Alvear;Rural;122;-27,5;79;1;4;17,6 hs;12;2;N/D;No;67;App;;Baja
100685;30/01/2026;Trenel;Comercial;472;N/D;1;1;4;5,2 hs;12;4;Sí;No;39;Web;N/D;Baja
100529;09/06/2024;Trenel;Residencial;412;68,9;21;0;1;1,5 hs;12;2;No;No;61;Web;s/d;Baja
101186;11/08/2012;Realicó;Comercial;481;-37,2;165;1;1;0,8 hs;12;2;Sí;No;56;App;6300;Baja
100121;11/01/2001;Realicó;Residencial;227;-18;306;1;2;5,3 hs;12;3;-;No;69;Teléfono;-;Activo
100467;2000-06-15;Trenel;Rural;299;57;313;2;4;12,8 hs;12;4;-;No;70;Web;N/D;Baja
101091;27/07/2015;eduardo castex;RESIDENCIAL ;303;-20,7;129;1;2;4,5 hs;12;2;s/d;Sí;62;Oficina;;Activo
